source,source_type,mentions,countries,confidence
independent trade unions,unnamed/generic,28,25,low
domestic human rights groups,unnamed/generic,27,23,low
international ngo,unnamed/generic,25,21,low
Transparency International,international NGO,25,18,high
Ministry of Justice,named (unclassified),24,18,medium
human rights defender,unnamed/generic,24,19,low
civil society organization,unnamed/generic,24,20,low
local human rights groups,unnamed/generic,24,18,low
local human rights organizations,unnamed/generic,24,18,low
an ngo,unnamed/generic,22,13,low
European Union,intergovernmental,20,16,high
Organization for Security and Cooperation in Europe,intergovernmental,19,18,high
expert,unnamed/generic,18,18,low
independent ngos,unnamed/generic,17,11,low
observer,unnamed/generic,17,14,low
international trade union,unnamed/generic,16,14,low
local activists,unnamed/generic,16,12,low
international nongovernmental organizations,unnamed/generic,15,15,low
local observers,unnamed/generic,15,13,low
Committee to Protect Journalists,international NGO,15,14,high
domestic ngo,unnamed/generic,15,12,low
domestic human rights organizations,unnamed/generic,15,14,low
local civil society organizations,unnamed/generic,13,12,low
local nongovernmental organizations,unnamed/generic,12,12,low
some ngos,unnamed/generic,12,11,low
independent labor unions,unnamed/generic,12,10,low
Office of the UN High Commissioner for Human Rights,UN body,12,11,high
local media reports,unnamed/generic,12,8,low
Ombudsperson Institution,named (unclassified),12,1,medium
Ministry of Interior,named (unclassified),11,10,medium
human rights monitors,unnamed/generic,11,10,low
African Union,intergovernmental,11,11,high
UN Women,UN body,11,11,high
International Monetary Fund,IFI,10,9,high
Foro Penal,named (unclassified),10,1,medium
Ministry of Health,named (unclassified),9,8,medium
domestic observers,unnamed/generic,9,8,low
civil society group,unnamed/generic,9,6,low
local human rights organization,unnamed/generic,9,4,low
several ngos,unnamed/generic,9,7,low
local journalists,unnamed/generic,9,8,low
World Food Program,UN body,8,8,high
Ministry of Labor,named (unclassified),8,7,medium
Media and NGOs,named (unclassified),8,7,medium
UNESCO,UN body,7,7,high
independent experts,unnamed/generic,7,5,low
human rights group,unnamed/generic,7,5,low
media report,unnamed/generic,7,3,low
Organization of American States,intergovernmental,6,5,high
One NGO,named (unclassified),6,6,medium
UN Population Fund,named (unclassified),6,6,medium
local human rights activists,unnamed/generic,6,6,low
International Criminal Court,judicial,6,6,high
International Trade Union Confederation,named (unclassified),5,5,medium
local experts,unnamed/generic,5,5,low
Antisemitism Observers,named (unclassified),5,5,medium
Racism and Intolerance,named (unclassified),5,4,medium
independent human rights organizations,unnamed/generic,5,5,low
National Security Forum,named (unclassified),5,1,medium
High Commissioner for Human Rights,named (unclassified),5,4,medium
local nongovernmental organization,unnamed/generic,5,5,low
Public Ministry,named (unclassified),5,2,medium
White Helmets,named (unclassified),5,1,medium
National Commission,named (unclassified),5,1,medium
Internal Displacement Monitoring Center,named (unclassified),4,4,medium
independent trade union,unnamed/generic,4,3,low
Ministry of Labour,named (unclassified),4,2,medium
local media outlets,unnamed/generic,4,4,low
independent civil society organizations,unnamed/generic,4,2,low
Rule of Law Report,named (unclassified),4,3,medium
Ligue Iteka,named (unclassified),4,1,medium
international human rights monitors,unnamed/generic,4,4,low
Journalists and NGOs,named (unclassified),4,3,medium
Socorro Jurídico Humanitario,named (unclassified),4,1,medium
international civil society organizations,unnamed/generic,4,4,low
independent nongovernmental organization,unnamed/generic,4,4,low
international experts,unnamed/generic,4,4,low
human rights monitor,unnamed/generic,4,4,low
international media outlets,unnamed/generic,4,4,low
Punishment (CPT),named (unclassified),4,4,medium
Ministry of Foreign Affairs,named (unclassified),4,4,medium
Kav LaOved,named (unclassified),4,1,medium
UN Panel of Experts,named (unclassified),4,3,medium
UN Working Group on Discrimination Against Women and Girls,named (unclassified),4,1,medium
Ministry of Internal Affairs,named (unclassified),4,2,medium
Advocacy Forum,named (unclassified),4,1,medium
Coalition Margini,named (unclassified),4,1,medium
Omani Centre for Human Rights,named (unclassified),4,1,medium
Center for Law of Armed Conflict,named (unclassified),4,1,medium
Interior Ministry,named (unclassified),3,3,medium
Solidarity Center,named (unclassified),3,1,medium
independent observer,unnamed/generic,3,3,low
Human Rights Commission,named (unclassified),3,2,medium
domestic human rights organization,unnamed/generic,3,2,low
Ministry of Labour and Employment,named (unclassified),3,1,medium
independent journalist,unnamed/generic,3,3,low
independent media outlet,unnamed/generic,3,3,low
local trade unions,unnamed/generic,3,2,low
UN Human Rights Council,named (unclassified),3,3,medium
Inter-American Commission on Human Rights,named (unclassified),3,3,medium
Ministry of Public Security,named (unclassified),3,2,medium
international journalists,unnamed/generic,3,3,low
independent human rights groups,unnamed/generic,3,3,low
Organization for Economic Cooperation and Development,named (unclassified),3,3,medium
Sixth Tone,named (unclassified),3,1,medium
High Commissioner for Human Rights (OHCHR),named (unclassified),3,3,medium
other ngos,unnamed/generic,3,3,low
A Turkish Cypriot NGO,named (unclassified),3,1,medium
domestic nongovernmental organization,unnamed/generic,3,3,low
High Court,named (unclassified),3,2,medium
Prevention of Torture (CPT),named (unclassified),3,3,medium
domestic civil society organizations,unnamed/generic,3,3,low
international human rights organization,unnamed/generic,3,3,low
Labor Ministry,named (unclassified),3,3,medium
European Commission,named (unclassified),3,3,medium
Ministry of Manpower,named (unclassified),3,2,medium
Kurdistan Human Rights Network,named (unclassified),3,1,medium
Ministry of Education,named (unclassified),3,3,medium
Another NGO,named (unclassified),3,3,medium
Privacy International,named (unclassified),3,2,medium
Rights Center,named (unclassified),3,2,medium
Cabo Delgado Province,named (unclassified),3,1,medium
In February RFA,named (unclassified),3,1,medium
Department of Labor,named (unclassified),3,2,medium
local journalist,unnamed/generic,3,3,low
Freedom Initiative,named (unclassified),3,1,medium
Ministry of Employment and Labor,named (unclassified),3,1,medium
UN Commission on Human Rights in South Sudan,named (unclassified),3,1,medium
numerous ngos,unnamed/generic,3,1,low
Mothers Association,named (unclassified),3,1,medium
Ministry of Health and Social Protection,named (unclassified),2,1,medium
World Vision,named (unclassified),2,1,medium
Protection of Children,named (unclassified),2,2,medium
NGO Mosaiko,named (unclassified),2,1,medium
International Partnership for Human Rights (IPHR),named (unclassified),2,2,medium
many ngos,unnamed/generic,2,2,low
Investigative Committee,named (unclassified),2,2,medium
domestic media outlets,unnamed/generic,2,2,low
UN Working Group on Arbitrary Detention,named (unclassified),2,1,medium
Human Rights First,named (unclassified),2,2,medium
Centre for Governance Studies,named (unclassified),2,1,medium
independent media reports,unnamed/generic,2,1,low
independent expert,unnamed/generic,2,2,low
BH Journalists Association,named (unclassified),2,1,medium
Sarajevo Open Center,named (unclassified),2,1,medium
O Globo,named (unclassified),2,1,medium
Brazilian Public Security Forum,named (unclassified),2,1,medium
Ministry of Home Affairs,named (unclassified),2,2,medium
Mission Wings,named (unclassified),2,1,medium
Romani NGOs,named (unclassified),2,2,medium
international nongovernmental organization,unnamed/generic,2,2,low
National Institute of Statistics and Demography,named (unclassified),2,1,medium
Coordination of Humanitarian Affairs,named (unclassified),2,2,medium
local human rights defenders,unnamed/generic,2,2,low
Voice of America,named (unclassified),2,2,medium
World Economics,named (unclassified),2,2,medium
Coordination of Humanitarian Affairs (OCHA),named (unclassified),2,2,medium
Observers and NGOs,named (unclassified),2,2,medium
Red Cross (ICRC),named (unclassified),2,2,medium
Safeguard Defenders,named (unclassified),2,1,medium
independent academic,unnamed/generic,2,2,low
Washington Post,named (unclassified),2,2,medium
China Digital Times,named (unclassified),2,1,medium
international media reports,unnamed/generic,2,2,low
World Jewish Congress,named (unclassified),2,2,medium
Fundación GAAT,named (unclassified),2,1,medium
Prisoners Defenders,named (unclassified),2,1,medium
independent activists,unnamed/generic,2,1,low
Turkish Cypriots,named (unclassified),2,1,medium
NGO Accept LGBTI Cyprus,named (unclassified),2,1,medium
Queer Cyprus Association,named (unclassified),2,1,medium
National Commission on Human Rights,named (unclassified),2,2,medium
Commissioner for Human Rights,named (unclassified),2,2,medium
independent ngo,unnamed/generic,2,2,low
local human rights group,unnamed/generic,2,2,low
El País,named (unclassified),2,2,medium
Application of Law,named (unclassified),2,1,medium
Labor Inspectorate,named (unclassified),2,2,medium
UN Population Division,named (unclassified),2,2,medium
independent human rights group,unnamed/generic,2,2,low
UN High Commissioner for Human Rights Volker Turk,named (unclassified),2,2,medium
BBC Amharic,named (unclassified),2,1,medium
In September the Ethiopian Human Rights Defenders Center,named (unclassified),2,1,medium
Displacement Tracking Matrix,named (unclassified),2,2,medium
Amnesty Finland,named (unclassified),2,1,medium
Ombudsman for Equality,named (unclassified),2,1,medium
Interior Minister Darmanin,named (unclassified),2,1,medium
PDO and NGOs,named (unclassified),2,1,medium
local civil society organization,unnamed/generic,2,2,low
domestic journalists,unnamed/generic,2,2,low
Directorate of Prison Administration,named (unclassified),2,1,medium
press report,unnamed/generic,2,1,low
Supreme Court,named (unclassified),2,2,medium
Alliance of Independent Journalists,named (unclassified),2,1,medium
International Work Group for Indigenous Affairs,named (unclassified),2,2,medium
Ministry of Culture,named (unclassified),2,2,medium
NGO Hengaw,named (unclassified),2,1,medium
Gulf International Forum,named (unclassified),2,1,medium
local press reports,unnamed/generic,2,1,low
Citizens and NGOs,named (unclassified),2,1,medium
Arab World Now,named (unclassified),2,1,medium
State Revenue Committee,named (unclassified),2,1,medium
Pristina Basic Court,named (unclassified),2,1,medium
NGO Bir Duino,named (unclassified),2,1,medium
MENA Rights Group,named (unclassified),2,2,medium
Ministry of Finance,named (unclassified),2,2,medium
Bureau of Corrections and Rehabilitation,named (unclassified),2,1,medium
Lawyers for Justice in Libya and Libya Crimes Watch,named (unclassified),2,1,medium
domestic nongovernmental organizations,unnamed/generic,2,2,low
Trades Union Congress,named (unclassified),2,1,medium
Defense and Promotion of Human Rights,named (unclassified),2,1,medium
Federal Center,named (unclassified),2,1,medium
Globe International Center,named (unclassified),2,1,medium
June RFA,named (unclassified),2,1,medium
In April RFA,named (unclassified),2,1,medium
In June RFA,named (unclassified),2,1,medium
White Paper,named (unclassified),2,1,medium
Media Trade Union,named (unclassified),2,1,medium
NGO Sahil,named (unclassified),2,1,medium
National Police,named (unclassified),2,2,medium
National Institute of Statistics,named (unclassified),2,2,medium
Antisemitism An,named (unclassified),2,2,medium
Helsinki Foundation for Human Rights,named (unclassified),2,1,medium
local activist,unnamed/generic,2,2,low
Ethnic Hungarians,named (unclassified),2,1,medium
international human rights group,unnamed/generic,2,2,low
Civic Assistance Committee,named (unclassified),2,1,medium
Radio Liberty,named (unclassified),2,2,medium
Roma Plenipotentiary,named (unclassified),2,1,medium
Ministry of Health and Welfare,named (unclassified),2,2,medium
National Statistics Institute,named (unclassified),2,1,medium
Unit for Combatting Violence Against Women,named (unclassified),2,1,medium
Syrian Observatory for Human Rights,named (unclassified),2,1,medium
NGO Syrians for Truth and Justice,named (unclassified),2,2,medium
Al Jazeera,named (unclassified),2,2,medium
Human Dignity Trust,named (unclassified),2,1,medium
President Saied,named (unclassified),2,1,medium
Penal System Association,named (unclassified),2,1,medium
Chronicles of Turkmenistan,named (unclassified),2,1,medium
Nash Svit,named (unclassified),2,1,medium
Civil Service,named (unclassified),2,1,medium
NGO Ezgulik,named (unclassified),2,1,medium
María Corina Machado,named (unclassified),2,1,medium
Espacio Público,named (unclassified),2,1,medium
Daily Etilaatroz,named (unclassified),1,1,medium
Situation of Human Rights in Afghanistan Richard Bennett,named (unclassified),1,1,medium
Both ACLED and UNAMA,named (unclassified),1,1,medium
Afghan Journalists Center,named (unclassified),1,1,medium
Norwegian Refugee Council,named (unclassified),1,1,medium
Empowerment of Women Sima Sami Bahous,named (unclassified),1,1,medium
UN Under-Secretary-General Bahous,named (unclassified),1,1,medium
Coordination of Humanitarian Affairs in Afghanistan,named (unclassified),1,1,medium
Institute for Activism and Social Change (IANS),named (unclassified),1,1,medium
General Directorate of Prisons (GDP),named (unclassified),1,1,medium
Prevention of Torture,named (unclassified),1,1,medium
General Directorate of State Police,named (unclassified),1,1,medium
Albanian Journalists Union (AJU),named (unclassified),1,1,medium
Albanian Institute of Political Studies (AIPS),named (unclassified),1,1,medium
Declaration and Audit of Assets and Conflict of Interest,named (unclassified),1,1,medium
Roma and Balkan-Egyptians,named (unclassified),1,1,medium
NGOs Nisma Arsis and World Vision,named (unclassified),1,1,medium
NGO Children Rights Center Albania (CRCA),named (unclassified),1,1,medium
NGO Terre des Hommes,named (unclassified),1,1,medium
NGOs Nisma Arsis and Terre des Hommes,named (unclassified),1,1,medium
Nisma Arsis,named (unclassified),1,1,medium
Alliance Against Discrimination of LGBT,named (unclassified),1,1,medium
Streha and Alliance Against Discrimination of LGBT,named (unclassified),1,1,medium
NGO PINK Embassy,named (unclassified),1,1,medium
Albanian Disabilities Rights Foundation (ADRF),named (unclassified),1,1,medium
Directorate General for National Security (DGSN),named (unclassified),1,1,medium
local civil society groups,unnamed/generic,1,1,low
Ministry of Communication,named (unclassified),1,1,medium
Liberation of Detainees (CNLD),named (unclassified),1,1,medium
Wassila Network,named (unclassified),1,1,medium
Algerian Society of Fertility and Contraception,named (unclassified),1,1,medium
Directorate General of National Security (DGSN),named (unclassified),1,1,medium
National Autonomous Union for Public Administration Personnel (SNAPAP),named (unclassified),1,1,medium
Radio M,named (unclassified),1,1,medium
Lunda Norte and Lunda Sul,named (unclassified),1,1,medium
Buenos Aires,named (unclassified),1,1,medium
Protection of Rights Without Borders NGO,named (unclassified),1,1,medium
Access Now,named (unclassified),1,1,medium
Protect Freedom of Expression,named (unclassified),1,1,medium
Migration and Citizenship Services,named (unclassified),1,1,medium
Racism and Intolerance (ECRI),named (unclassified),1,1,medium
Observation Group,named (unclassified),1,1,medium
In June the Human Rights Commission,named (unclassified),1,1,medium
Australian Bureau of Statistics in August,named (unclassified),1,1,medium
Australian Bureau of Statistics,named (unclassified),1,1,medium
Captive and Missing,named (unclassified),1,1,medium
domestic human rights activists,unnamed/generic,1,1,low
Galib Bayramov,named (unclassified),1,1,medium
President Ilham Aliyev,named (unclassified),1,1,medium
Republic of Armenia,named (unclassified),1,1,medium
Bahrain Institute for Rights and Democracy (BIRD),named (unclassified),1,1,medium
Salish Kendra (ASK),named (unclassified),1,1,medium
Country Report,named (unclassified),1,1,medium
Prothom Alo,named (unclassified),1,1,medium
NGO Fortify Rights,named (unclassified),1,1,medium
CHT Commission,named (unclassified),1,1,medium
Parbatya Chattagram Jana Samhati Samiti (PCJSS),named (unclassified),1,1,medium
Disabilities An NGO,named (unclassified),1,1,medium
Net Report,named (unclassified),1,1,medium
Belarusian Association of Journalists,named (unclassified),1,1,medium
National Statistics Committee,named (unclassified),1,1,medium
Union of Poles,named (unclassified),1,1,medium
Director of Immigration Debra Baptist Estrada,named (unclassified),1,1,medium
Both PETAL and UniBAM,named (unclassified),1,1,medium
Belize City,named (unclassified),1,1,medium
Association of Defense Attorneys,named (unclassified),1,1,medium
Virgil Ahouanse,named (unclassified),1,1,medium
Social Change Benin,named (unclassified),1,1,medium
Its Working Group on Arbitrary Detention,named (unclassified),1,1,medium
Independent National Electoral Commission,named (unclassified),1,1,medium
Beninese Association for Social Marketing,named (unclassified),1,1,medium
Department of Immigration,named (unclassified),1,1,medium
Discrimination CSOs,named (unclassified),1,1,medium
Association of Journalists of La Paz,named (unclassified),1,1,medium
Multidimensional Violence,named (unclassified),1,1,medium
Andrés Gómez,named (unclassified),1,1,medium
News Agency Fides,named (unclassified),1,1,medium
Cobertura Digital,named (unclassified),1,1,medium
Association of Councilors of Bolivia,named (unclassified),1,1,medium
UN Entity on Gender Equality,named (unclassified),1,1,medium
Inter-American Court of Human Rights,named (unclassified),1,1,medium
In May CPT,named (unclassified),1,1,medium
Free Media Help Line,named (unclassified),1,1,medium
Aleksandar Trifunovic and Nikola Moraca,named (unclassified),1,1,medium
Safe Journalist Network,named (unclassified),1,1,medium
Ministry of Human Rights and Refugees,named (unclassified),1,1,medium
Emir Suljagic,named (unclassified),1,1,medium
Gender Equality Agency,named (unclassified),1,1,medium
Interreligious Council of BiH,named (unclassified),1,1,medium
Roma NGOs,named (unclassified),1,1,medium
Agency for Gender Equality,named (unclassified),1,1,medium
Sarajevo Open Centre (SOC),named (unclassified),1,1,medium
Rio de Janeiro Institute of Public Security,named (unclassified),1,1,medium
NGO Forum for Justice,named (unclassified),1,1,medium
NGO National Security Forum,named (unclassified),1,1,medium
National Council of Justice,named (unclassified),1,1,medium
Oswaldo Cruz Foundation,named (unclassified),1,1,medium
Jurandir Wellington,named (unclassified),1,1,medium
Bahia and Maranhão,named (unclassified),1,1,medium
Claudia Dadico,named (unclassified),1,1,medium
Minas Gerais,named (unclassified),1,1,medium
NGO Gay Group of Bahia,named (unclassified),1,1,medium
In September Eller,named (unclassified),1,1,medium
Grupo Globo,named (unclassified),1,1,medium
Brazilian Institute of Geography and Statistics,named (unclassified),1,1,medium
BBC Brasil,named (unclassified),1,1,medium
Labor Inspectors Union,named (unclassified),1,1,medium
Chinese Marriage Act,named (unclassified),1,1,medium
Minister of Development,named (unclassified),1,1,medium
In January the BHC,named (unclassified),1,1,medium
NGO Anti-Corruption Fund,named (unclassified),1,1,medium
In May National Investigative Service Director Borislav Sarafov,named (unclassified),1,1,medium
In April the Association of European Journalists (AEJ),named (unclassified),1,1,medium
Anti-Corruption Fund,named (unclassified),1,1,medium
President Rumen Radev,named (unclassified),1,1,medium
Polina Velcheva,named (unclassified),1,1,medium
NGO Mission Wings,named (unclassified),1,1,medium
NGO Institute for Market Economics,named (unclassified),1,1,medium
In March the Institute for Market Economics,named (unclassified),1,1,medium
National Social Security Institute,named (unclassified),1,1,medium
National Network for Children,named (unclassified),1,1,medium
Gays and Lesbians Accepted in Society Foundation in March,named (unclassified),1,1,medium
In May the Single Step Foundation,named (unclassified),1,1,medium
In July the Kera Foundation,named (unclassified),1,1,medium
In May the Union of Bulgarian Medical Specialists,named (unclassified),1,1,medium
Bulgarian Industrial Capital Association,named (unclassified),1,1,medium
In March Transition President Traoré,named (unclassified),1,1,medium
Burma Human Rights Network,named (unclassified),1,1,medium
Karenni Human Rights Group,named (unclassified),1,1,medium
Karen Human Rights Group,named (unclassified),1,1,medium
Myanmar Now,named (unclassified),1,1,medium
Annual Report on Children and Armed Conflict,named (unclassified),1,1,medium
Confederation of Trade Unions in Myanmar,named (unclassified),1,1,medium
Business and Human Rights Resource Center,named (unclassified),1,1,medium
SOS Torture Burundi,named (unclassified),1,1,medium
UN Human Rights Committee,named (unclassified),1,1,medium
UN Committee Against Torture,named (unclassified),1,1,medium
Office of Penitentiary Affairs,named (unclassified),1,1,medium
NGO ACAT-Burundi,named (unclassified),1,1,medium
Some IDPs,named (unclassified),1,1,medium
In February the CNIDH,named (unclassified),1,1,medium
Demographic and Health Survey,named (unclassified),1,1,medium
NGO in Banteay Meanchey Province,named (unclassified),1,1,medium
Hun Sen,named (unclassified),1,1,medium
Foreign Ministry,named (unclassified),1,1,medium
Candlelight Party,named (unclassified),1,1,medium
Cambodian Journalists Alliance Association,named (unclassified),1,1,medium
General Department of Immigration,named (unclassified),1,1,medium
Immigration Office,named (unclassified),1,1,medium
Cambodia Socio-Economic Survey,named (unclassified),1,1,medium
National Election Committee,named (unclassified),1,1,medium
Indigenous NGOs,named (unclassified),1,1,medium
Although NGOs,named (unclassified),1,1,medium
Mandela Center,named (unclassified),1,1,medium
Northwest Region Governor Adolphe Lele Lafrique,named (unclassified),1,1,medium
Moja Moja,named (unclassified),1,1,medium
Coordinator for Humanitarian Affairs (OCHA),named (unclassified),1,1,medium
Mbororo Social and Cultural Development Association,named (unclassified),1,1,medium
NGO Colibri,named (unclassified),1,1,medium
NGO Humanity First Cameroon,named (unclassified),1,1,medium
Correctional Service of Canada,named (unclassified),1,1,medium
Andre Spring,named (unclassified),1,1,medium
Canada Border Services Agency,named (unclassified),1,1,medium
Vancouver Police Department,named (unclassified),1,1,medium
York University,named (unclassified),1,1,medium
First Nation,named (unclassified),1,1,medium
Children First Canada in August,named (unclassified),1,1,medium
Auditor General of Canada,named (unclassified),1,1,medium
Labour Program,named (unclassified),1,1,medium
Central African Republic (MINUSCA),named (unclassified),1,1,medium
Human Rights Division,named (unclassified),1,1,medium
UN Human Rights Office and MINUSCA,named (unclassified),1,1,medium
UN Human Rights Division,named (unclassified),1,1,medium
National Electoral Authority,named (unclassified),1,1,medium
Economic Community of Central African States Observer Mission,named (unclassified),1,1,medium
International NGO Safety Organization,named (unclassified),1,1,medium
September the HRW,named (unclassified),1,1,medium
International Organization of Migration,named (unclassified),1,1,medium
Ministry of Communications,named (unclassified),1,1,medium
Chadian Disability Organization,named (unclassified),1,1,medium
Investigations Police of Chile,named (unclassified),1,1,medium
Legal and Social Sciences Research Conclave,named (unclassified),1,1,medium
Homosexual Integration and Liberation Movement (MOVILH),named (unclassified),1,1,medium
Iguales Foundation,named (unclassified),1,1,medium
In July Radio Free Asia (RFA),named (unclassified),1,1,medium
Maralbeshi County,named (unclassified),1,1,medium
Rights Protection Network (RPN),named (unclassified),1,1,medium
Independent Chinese PEN Center,named (unclassified),1,1,medium
In March the UN High Commissioner for Human Rights,named (unclassified),1,1,medium
Dagens Nyheter,named (unclassified),1,1,medium
NGO PEN America,named (unclassified),1,1,medium
PEN America,named (unclassified),1,1,medium
Television and Theater Review Journal,named (unclassified),1,1,medium
Straits Times,named (unclassified),1,1,medium
University World News,named (unclassified),1,1,medium
Shenzhen City,named (unclassified),1,1,medium
North Korea,named (unclassified),1,1,medium
South China Morning Post,named (unclassified),1,1,medium
Caixin Global,named (unclassified),1,1,medium
In March the RFA,named (unclassified),1,1,medium
In March Radio Free Europe,named (unclassified),1,1,medium
United Kingdom,named (unclassified),1,1,medium
China Media Project,named (unclassified),1,1,medium
Beijing News,named (unclassified),1,1,medium
Intermediate Court,named (unclassified),1,1,medium
Freedom of Association,named (unclassified),1,1,medium
China Labor Watch,named (unclassified),1,1,medium
NGO Center for Research and Popular Education (CINEP),named (unclassified),1,1,medium
Study of Development and Peace (INDEPAZ),named (unclassified),1,1,medium
Political Prisoners (CSPP),named (unclassified),1,1,medium
Comprehensive Action Group Against Antipersonnel Mines,named (unclassified),1,1,medium
NGO National Association of Displaced Afro-descendants,named (unclassified),1,1,medium
NGO Caribe Afirmativo,named (unclassified),1,1,medium
UN Development Program,named (unclassified),1,1,medium
Antisemitism The Jewish Zionist Center,named (unclassified),1,1,medium
Colombe Ivoire,named (unclassified),1,1,medium
Pulchérie Gbalet,named (unclassified),1,1,medium
COSCEL-CI and CIVIS,named (unclassified),1,1,medium
Urban Planning,named (unclassified),1,1,medium
Minister of Construction,named (unclassified),1,1,medium
Mayor Assale Tiemoko,named (unclassified),1,1,medium
Prime Minister Andrej Plenkovic,named (unclassified),1,1,medium
Danish Refugee Council (DRC),named (unclassified),1,1,medium
Lighthouse Reports,named (unclassified),1,1,medium
Serb National Council (SNV),named (unclassified),1,1,medium
Antisemitism The World Jewish Congress,named (unclassified),1,1,medium
NGO Association for HIV (HUHIV),named (unclassified),1,1,medium
NGO Christian Solidarity Worldwide,named (unclassified),1,1,medium
Spain-based NGO Prisoners Defenders,named (unclassified),1,1,medium
Lizandra Góngora Espinosa,named (unclassified),1,1,medium
Cuban Observatory of Human Rights,named (unclassified),1,1,medium
Jorge Fernández Era,named (unclassified),1,1,medium
Prison and Detention Center Conditions NGOs,named (unclassified),1,1,medium
ROC Bar Association,named (unclassified),1,1,medium
Lawyers and NGOs,named (unclassified),1,1,medium
Makarios Drousiotis,named (unclassified),1,1,medium
In May the Center for Migration and Rights Studies,named (unclassified),1,1,medium
In May the Larnaca District Court,named (unclassified),1,1,medium
Family (SPAVO),named (unclassified),1,1,medium
Officials and NGOs,named (unclassified),1,1,medium
NGO Voice of International Students in Cyprus,named (unclassified),1,1,medium
In March the Larnaca District Court,named (unclassified),1,1,medium
Jewish Community Center,named (unclassified),1,1,medium
Parents and NGOs,named (unclassified),1,1,medium
In July the European Commission,named (unclassified),1,1,medium
AIDS Help Society,named (unclassified),1,1,medium
UN Joint Human Rights Office (UNJHRO),named (unclassified),1,1,medium
Radio France International (RFI),named (unclassified),1,1,medium
NGO Congo Handicap,named (unclassified),1,1,medium
UN Group of Experts,named (unclassified),1,1,medium
Protection for Whistleblowers in Africa,named (unclassified),1,1,medium
Congo Handicap,named (unclassified),1,1,medium
Trade Union Confederation,named (unclassified),1,1,medium
Health Agency,named (unclassified),1,1,medium
General Court in Holbaek,named (unclassified),1,1,medium
Analyze Denmark,named (unclassified),1,1,medium
Danish Institute for Human Rights (DIHR),named (unclassified),1,1,medium
Jewish Community in Denmark,named (unclassified),1,1,medium
National Human Rights Commission,named (unclassified),1,1,medium
Confederation of Indigenous Nationalities of Ecuador,named (unclassified),1,1,medium
Attorney General,named (unclassified),1,1,medium
NGO Fundamedios,named (unclassified),1,1,medium
NGO Regional Human Rights Advisory Foundation,named (unclassified),1,1,medium
NGO Silueta X,named (unclassified),1,1,medium
Discrimination Fundación Ecuatoriana Equidad,named (unclassified),1,1,medium
domestic human rights group,unnamed/generic,1,1,low
Minority Rights Group,named (unclassified),1,1,medium
Giza Governorate,named (unclassified),1,1,medium
Center for Trade Union and Workers Services,named (unclassified),1,1,medium
National Civil Police (PNC),named (unclassified),1,1,medium
El Faro,named (unclassified),1,1,medium
El Diario de Hoy,named (unclassified),1,1,medium
Association of Journalists of El Salvador (APES),named (unclassified),1,1,medium
APES Center for Monitoring Attacks on Journalists,named (unclassified),1,1,medium
Revista Factum,named (unclassified),1,1,medium
Government Ethics Tribunal,named (unclassified),1,1,medium
Union of Seamstresses and Tailors,named (unclassified),1,1,medium
COMCAVIS TRANS,named (unclassified),1,1,medium
Disabilities Foundation,named (unclassified),1,1,medium
NGO Socorro Jurídico Humanitario,named (unclassified),1,1,medium
Diaspora Simeon Oyono Angue,named (unclassified),1,1,medium
Citizens for Innovation (CI),named (unclassified),1,1,medium
President Obiang,named (unclassified),1,1,medium
When NGOs,named (unclassified),1,1,medium
